,season_id,club,5year_spend,pl_seasonfinish,cluster_clubs
0,2018,AFC Bournemouth,226.52,14,5
1,2019,AFC Bournemouth,276.61,18,0
2,2022,AFC Bournemouth,186.05,14,5
3,2018,Arsenal FC,491.48,5,3
4,2019,Arsenal FC,533.3,8,2
5,2020,Arsenal FC,592.8,8,2
6,2021,Arsenal FC,647.2,5,2
7,2022,Arsenal FC,626.41,1,2
8,2019,Aston Villa,333.45,17,0
9,2020,Aston Villa,368.25,11,0
10,2021,Aston Villa,412.57,14,3
11,2022,Aston Villa,479.77,12,3
12,2021,Brentford FC,96.52,13,5
13,2022,Brentford FC,135.7,10,5
14,2018,Brighton & Hove Albion,179.64,17,5
15,2019,Brighton & Hove Albion,237.58,15,5
16,2020,Brighton & Hove Albion,252.61,16,5
17,2021,Brighton & Hove Albion,318.86,9,0
18,2022,Brighton & Hove Albion,298.09,7,0
19,2018,Chelsea FC,836.3,3,4
20,2019,Chelsea FC,743.6,4,1
21,2020,Chelsea FC,894.3,4,4
22,2021,Chelsea FC,879.5,3,4
23,2022,Chelsea FC,900.99,8,4
24,2018,Crystal Palace,222.02,12,5
25,2019,Crystal Palace,198.4,14,5
26,2020,Crystal Palace,192.0,14,5
27,2021,Crystal Palace,176.42,12,5
28,2022,Crystal Palace,162.07,11,5
29,2018,Everton FC,478.06,8,3
30,2019,Everton FC,558.9,12,2
31,2020,Everton FC,583.37,10,2
32,2021,Everton FC,536.87,16,2
33,2022,Everton FC,411.87,17,3
34,2018,Fulham FC,188.32,19,5
35,2020,Fulham FC,236.47,18,5
36,2022,Fulham FC,274.15,9,0
37,2020,Leeds United,176.5,9,5
38,2021,Leeds United,226.82,17,5
39,2022,Leeds United,302.73,15,0
40,2018,Leicester City,363.31,9,0
41,2019,Leicester City,444.75,5,3
42,2020,Leicester City,454.25,5,3
43,2021,Leicester City,429.75,8,3
44,2022,Leicester City,362.9,13,0
45,2018,Liverpool FC,713.68,2,1
46,2019,Liverpool FC,572.65,1,2
47,2020,Liverpool FC,530.2,3,2
48,2021,Liverpool FC,537.3,2,2
49,2022,Liverpool FC,458.95,6,3
50,2018,Manchester City,922.36,1,4
51,2019,Manchester City,979.08,2,4
52,2020,Manchester City,944.01,1,4
53,2021,Manchester City,867.91,1,4
54,2022,Manchester City,689.91,2,1
55,2018,Manchester United,956.95,6,4
56,2019,Manchester United,856.9,3,4
57,2020,Manchester United,784.7,2,1
58,2021,Manchester United,741.7,6,1
59,2022,Manchester United,783.62,5,1
60,2018,Newcastle United,323.43,13,0
61,2019,Newcastle United,351.31,13,0
62,2020,Newcastle United,282.4,12,0
63,2021,Newcastle United,348.65,11,0
64,2022,Newcastle United,438.5,3,3
65,2022,Nottingham Forest,219.51,18,5
66,2018,Southampton FC,348.5,16,0
67,2019,Southampton FC,314.0,11,0
68,2020,Southampton FC,291.2,15,0
69,2021,Southampton FC,265.4,15,0
70,2022,Southampton FC,283.55,19,0
71,2018,Tottenham Hotspur,326.48,4,0
72,2019,Tottenham Hotspur,426.5,6,3
73,2020,Tottenham Hotspur,466.0,7,3
74,2021,Tottenham Hotspur,478.4,4,3
75,2022,Tottenham Hotspur,524.8,4,2
76,2018,West Ham United,329.05,10,0
77,2019,West Ham United,413.7,16,3
78,2020,West Ham United,415.7,6,3
79,2021,West Ham United,406.7,7,3
80,2022,West Ham United,531.9,16,2
81,2018,Wolverhampton Wanderers,186.65,7,5
82,2019,Wolverhampton Wanderers,299.5,7,0
83,2020,Wolverhampton Wanderers,377.75,13,0
84,2021,Wolverhampton Wanderers,379.25,10,0
85,2022,Wolverhampton Wanderers,491.24,20,3
